category,id
Poetry,1
Default,2
Historical Fiction,3
Young Adult,4
Mystery,5
Business,6
History,7
Sequential Art,8
Fiction,9
Music,10
Travel,11
Politics,12
Science Fiction,13
Thriller,14
Romance,15
Food and Drink,16
Childrens,17
Spirituality,18
Art,19
Nonfiction,20
Philosophy,21
New Adult,22
Contemporary,23
Fantasy,24
Add a comment,25
Health,26
Science,27
Horror,28
Self Help,29
Religion,30
Christian,31
Crime,32
Autobiography,33
Christian Fiction,34
Biography,35
Womens Fiction,36
Erotica,37
Cultural,38
Psychology,39
Humor,40
Historical,41
Novels,42
Short Stories,43
Suspense,44
Classics,45
Academic,46
Sports and Games,47
Adult Fiction,48
Parenting,49
Paranormal,50
